sn,dependency,money
United States,42.3,2.05E+13
Poland,32.2,5.86E+11
Netherlands,37.1,9.14E+11
Switzerland,32.6,7.05E+11
Germany,31.7,3.95E+12
Sudan,111.3,40851536134
Uganda,142,27461440192
Dem. Rep. Congo,113.3,47227535291
Afghanistan,123.1,19362969582
Tanzania,126.3,58001200572
